,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
10,"Domov pro seniory Lukov, příspěvková organizace",20469817,70850941,13.10.2022,,"100 000,00 CZK",Kupní smlouva,"[{'název': None, 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",21983825,Polášek Holešov s.r.o.
11,"Domov pro seniory Lukov, příspěvková organizace",20447741,70850941,12.10.2022,,"57 060,00 CZK",Objednávka polštářů,"[{'název': 'bílé polštáře Petra, vyvářka 90st, 70x90cm', 'množství': 50, 'cena bez DPH': None, 'cena s dph': 666}, {'název': 'bílé malé polštářky 40x40 cm, vyvářka 90 st. kvalitní výplní', 'množství': 80, 'cena bez DPH': None, 'cena s dph': 115}, {'název': 'povlak na polštářky 40x40 cm, vyvářka 90 st. -3 odstíny', 'množství': 160, 'cena bez DPH': None, 'cena s dph': 91}]",21960493,Polášek Holešov s.r.o.
12,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,18517423,64422402,29.03.2022,"256 600,00 CZK","310 486,00 CZK","Dodávka přikrývek, polštářů a povlečení","[{'název': 'Kapna (140x200) - duté vlákno', 'množství': None, 'cena bez DPH': '435,00 Kč', 'cena s DPH': None}, {'název': 'Polštář prošitý (70x90) - kuličky', 'množství': None, 'cena bez DPH': '260,00 Kč', 'cena s DPH': None}, {'název': 'Prostěradlo bílé (150x240)', 'množství': None, 'cena bez DPH': '165,00 Kč', 'cena s DPH': None}, {'název': 'Povlak kapna + šňůrky (140x200)', 'množství': None, 'cena bez DPH': '310,00 Kč', 'cena s DPH': None}, {'název': 'Povlak polštář + šňůrky (70x90)', 'množství': None, 'cena bez DPH': '105,00 Kč', 'cena s DPH': None}]",19907839,Polášek Holešov s.r.o.
13,Dům sociálních služeb Návojná,17090039,70850852,15.11.2021,"71 450,00 CZK","86 455,00 CZK","Objednávka 100 ks ložního povlečení, 50 ks ručníků, 20 ks přikrývek anti alergik a 20 ks polštářů anti alergik","[{'název': 'ložní povlečení krep 140x200/70x90', 'množství': 100, 'cena bez DPH': 480, 'cena s DPH': None}, {'název': 'ručníky 50x100', 'množství': 50, 'cena bez DPH': 115, 'cena s DPH': None}, {'název': 'přikrývky anti alergik 135x200 letní 600 g', 'množství': 20, 'cena bez DPH': 485, 'cena s DPH': None}, {'název': 'polštáře anti alergik 70x90 zip +vak', 'množství': 20, 'cena bez DPH': 405, 'cena s DPH': None}]",18395551,Polášek Holešov s.r.o.
14,Úřad práce ČR - krajská pobočka ve Zlíně - kontaktní pracoviště Kroměříž (Úřad práce České republiky),13540928,72496991,19.11.2020,,,Dohoda o poskytnutí příspěvku z cíleného programu Antivirus,[],15994115,Polášek Holešov s.r.o.
15,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,14702439,64422402,11.03.2021,"167 900,00 CZK","203 159,00 CZK","Dodávka přikrývek, polštářů a povlečení","[{'název': 'Kapna (135x200)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '400,00 Kč'}, {'název': 'Polštář prošitý (70x90)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '250,00 Kč'}, {'název': 'Prostěradlo bílé (160x240)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '150,00 Kč'}, {'název': 'Povlak kapna + šňůrky (140x200)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '290,00 Kč'}, {'název': 'Povlak polštář + šňůrky (70x90)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '90,00 Kč'}, {'název': 'Ochranný povlak na matraci (90x200)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '190,00 Kč'}, {'název': 'Utěrky (50x70)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': '30,00 Kč'}]",15801107,Polášek Holešov s.r.o.
16,Vyšší policejní škola a Střední policejní škola Ministerstva vnitra v Holešově,10805536,64422402,05.02.2020,"262 750,00 CZK","317 927,50 CZK","Dodávka přikrývek, polštářů a povlečení","[{'název': 'Chránič matrace', 'množství': None, 'cena bez DPH': '229,90 Kč', 'cena s DPH': None}, {'název': 'Prostěradlo', 'množství': None, 'cena bez DPH': '181,50 Kč', 'cena s DPH': None}, {'název': 'Povlečení kapna damašek', 'množství': None, 'cena bez DPH': '375,10 Kč', 'cena s DPH': None}, {'název': 'Povlečení polštář damašek', 'množství': None, 'cena bez DPH': '145,20 Kč', 'cena s DPH': None}, {'název': 'Povlečení souprava krep', 'množství': None, 'cena bez DPH': '411,40 Kč', 'cena s DPH': None}, {'název': 'Povlečení polštář krep barevný', 'množství': None, 'cena bez DPH': '114,95 Kč', 'cena s DPH': None}, {'název': 'Přikrývka prošívaná duté vlákno', 'množství': None, 'cena bez DPH': '496,10 Kč', 'cena s DPH': '649,00 Kč'}]",11629144,Polášek Holešov s.r.o.
17,Město Hodonín,9084019,284891,16.08.2016,"2 421,49 CZK","2 930,00 CZK","Ubrusy - 10x - zasedačka rady - Opakované uveřejnění z důvodu ochrany osobních údajů, původní uveřejnění bylo provedeno dne 18.8.2016","[{'název': 'bílé ubrusy', 'množství': 10, 'cena bez DPH': None, 'cena s DPH': 285}]",9785163,Polášek Holešov s.r.o.
18,Město Uherské Hradiště,7628795,291471,31.01.2019,"225,28 CZK",,"Smlouva o námu prostor sloužících k podnikání v I. NP, budova č.p. 436, Růžová ulice, Uh. Hradiště",[],8235115,Polášek Holešov s.r.o.
19,Domov pro seniory Zahradní Město,3995668,70878030,22.12.2017,"24 793,00 CZK","30 000,00 CZK",Objednávka - záclony včetně kolejniček,"[{'název': 'záclony včetně kolejniček', 'množství': None, 'cena bez DPH': 24793, 'cena s dph': 30000}]",4299996,Polášek Holešov s.r.o.
