,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
14,"CENTRUM ROŽMITÁL POD TŘEMŠÍNEM, poskytovatel sociálních služeb",23659871,42727219,04.08.2023,"124 000,00 CZK","150 040,00 CZK",nákup ložního prádla,"[{'název': 'radio do gumy', 'množství': 90, 'cena bez DPH': '360,00 Kč', 'cena s DPH': '108 900,00 Kč'}, {'název': 'prostěradlo 160 x 190', 'množství': 170, 'cena bez DPH': '34 000,00 Kč', 'cena s DPH': '41 140,00 Kč'}]",25348515,Sc professional
15,"Psychiatrická léčebna Petrohrad, příspěvková organizace",22504717,829137,30.03.2023,"69 700,00 CZK","84 337,00 CZK",Dodávka matrací do nemocničních lůžek,"[{'název': 'Matrace rozměr 90x200x15 cm, jádro polyuretanová pěna, nepropustný, omyvatelný potah', 'množství': 17, 'cena bez DPH': '4.100,--Kč', 'cena s DPH': '84.337,--Kč'}]",24131833,Sc professional
16,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",21602277,666238,23.01.2023,,"64 251,00 CZK",Prostěradla Jersey + Lycra 90x200x30,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",23181637,Sc professional
17,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",21129173,666238,08.11.2022,,"70 000,00 CZK","Textil: prostěradla, polštáře","[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",22676497,Sc professional
18,"CENTRUM ROŽMITÁL POD TŘEMŠÍNEM, poskytovatel sociálních služeb",21018953,42727219,01.12.2022,"80 800,00 CZK","97 768,00 CZK",nákup ložního prádla,"[{'název': 'prostěradlo do gumy', 'množství': 340, 'cena bez DPH': 54400.0, 'cena s DPH': 65824.0}, {'název': 'prostěradlo bavlna bílé', 'množství': 165, 'cena bez DPH': 26400.0, 'cena s DPH': 31944.0}]",22560773,Sc professional
19,Palata - Domov pro zrakově postižené,20700493,70872783,03.11.2022,"81 200,00 CZK","98 252,00 CZK",objednávka - ložní prádlo,"[{'název': 'Ložní souprava 1+1 KREP, 100% bavlna.zapínání na knoflíky', 'množství': 116, 'cena bez DPH': 700.0, 'cena s DPH': 98252.0}]",22226789,Sc professional
20,Domov pro osoby se zdravotním postižením Osek,19884143,70871795,09.08.2022,,"101 785,20 CZK",Dokument z ANONYMIZERU,"[{'název': 'Přikrývka MIKRA 140x200 cm', 'množství': 50, 'cena bez DPH': 580.0, 'cena s DPH': 35090.0}, {'název': 'Polštář MIKRA 70x90 cm', 'množství': 50, 'cena bez DPH': 380.0, 'cena s DPH': 22990.0}, {'název': 'Prostěradlo', 'množství': 295, 'cena bez DPH': 14750.0, 'cena s DPH': 17847.5}, {'název': 'Povlak na přikrývku 140x200cm', 'množství': 50, 'cena bez DPH': 305.0, 'cena s DPH': 18452.5}, {'název': 'Povlak na polštář 70x90 cm', 'množství': 60, 'cena bez DPH': 102.0, 'cena s DPH': 7405.2}]",21367251,Sc professional
21,Centrum sociálních služeb Jindřichův Hradec,19744227,75011191,26.07.2022,"54 000,00 CZK","65 340,00 CZK",Kupní smlouva - nákup ložního prádla,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",21219975,Sc professional
22,Domov pro osoby se zdravotním postižením Osek,19672691,70871795,29.06.2022,,"101 785,20 CZK",Dokument z ANONYMIZERU,"[{'název': 'Přikrývka MIKRA 140x200 cm', 'množství': 50, 'cena bez DPH': 580.0, 'cena s DPH': 35090.0}, {'název': 'Polštář MIKRA 70x90 cm', 'množství': 50, 'cena bez DPH': 380.0, 'cena s DPH': 22990.0}, {'název': 'Prostěradlo JERSEY', 'množství': 50, 'cena bez DPH': 295.0, 'cena s DPH': 17847.5}, {'název': 'Povlak na přikrývku 140x200cm', 'množství': 50, 'cena bez DPH': 305.0, 'cena s DPH': 18452.5}, {'název': 'Povlak na polštář 70x90 cm', 'množství': 60, 'cena bez DPH': 102.0, 'cena s DPH': 7405.2}]",21144799,Sc professional
23,Domov seniorů Drachtinka,17570215,27520269,21.12.2021,"106 750,00 CZK","129 167,50 CZK","Objednávka - prostěradla, ložní prádlo, ručníky","[{'název': 'Prostěradlo těžší froté 90 x 200 cm', 'množství': 70, 'cena bez DPH': 278.3, 'cena s DPH': 278.3}, {'název': 'Přehoz postele 140 x 220 cm', 'množství': 50, 'cena bez DPH': 786.5, 'cena s DPH': 786.5}, {'název': 'Ložní souprava 1+1', 'množství': 60, 'cena bez DPH': 629.2, 'cena s DPH': 629.2}, {'název': 'Přikrývka MIKRA 140 x 200 cm', 'množství': 10, 'cena bez DPH': 701.8, 'cena s DPH': 701.8}, {'název': 'Polštář MIKRA 70 x 90 cm', 'množství': 10, 'cena bez DPH': 459.8, 'cena s DPH': 459.8}, {'název': 'Podložka bílá 150 x 170 cm', 'množství': 50, 'cena bez DPH': 127.05, 'cena s DPH': 127.05}, {'název': 'Žínka froté 15 x 20 cm', 'množství': 100, 'cena bez DPH': 21.78, 'cena s DPH': 21.78}, {'název': 'Ručník froté 50 x 100 cm', 'množství': 50, 'cena bez DPH': 83.49, 'cena s DPH': 83.49}, {'název': 'Osuška froté 70 x 140 cm', 'množství': 50, 'cena bez DPH': 165.77, 'cena s DPH': 165.77}]",18902207,Sc professional
24,Palata - Domov pro zrakově postižené,17514371,70872783,21.12.2021,"69 600,00 CZK","84 216,00 CZK",objednávka- přikrývky,"[{'název': 'Přikrývka MICRA 140x200', 'množství': 120, 'cena bez DPH': 580.0, 'cena s DPH': 69600.0}]",18842543,Sc professional
25,"CENTRUM ROŽMITÁL POD TŘEMŠÍNEM, poskytovatel sociálních služeb",17202515,42727219,22.11.2021,"84 200,00 CZK","101 882,00 CZK",nákup prádla,"[{'název': 'prostěradlo do gumy 90 x 200 x 30', 'množství': 150, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'polštář Mikra 70 x 90', 'množství': 20, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'přikrývka Mikra 140 x 200', 'množství': 20, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo 150 x 260', 'množství': 150, 'cena bez DPH': None, 'cena s DPH': None}]",18513383,Sc professional
26,"Vojenské lesy a statky ČR, s.p.",17200411,205,24.11.2021,"147 500,00 CZK",,"Polštáře, přikrývky, povlečení, ručníky, osušky, utěrky - Resort Olšina","[{'název': 'Přikrývka 140x200 cm', 'množství': 60, 'cena bez DPH': 580, 'cena s DPH': None}, {'název': 'Polštář 70x90 cm', 'množství': 60, 'cena bez DPH': 380, 'cena s DPH': None}, {'název': 'Polštář 50x70 cm', 'množství': 30, 'cena bez DPH': 270, 'cena s DPH': None}, {'název': 'Ložní souprava 1+1', 'množství': 100, 'cena bez DPH': 500, 'cena s DPH': None}, {'název': 'Frote rucník 50x100cm', 'množství': 150, 'cena bez DPH': 62, 'cena s DPH': None}, {'název': 'Frote osuška 70x140cm', 'množství': 150, 'cena bez DPH': 120, 'cena s DPH': None}, {'název': 'Vaflový rucník', 'množství': 100, 'cena bez DPH': 34, 'cena s DPH': None}, {'název': 'Utěrka', 'množství': 50, 'cena bez DPH': 22, 'cena s DPH': None}]",18511067,Sc professional
27,Domov pro seniory Chýnov,17170935,75011204,24.11.2021,,"85 317,10 CZK","Objednávka č. 308/2021 týkající se nákupu prádla (ložní soupravy, prostěradla, bryndáky, přikrývky, polštáře, deky)","[{'název': 'Ložní souprava Damašek GRAZ b. GOLD 1+1 (140x205;70x90) spr.', 'množství': 1, 'cena bez DPH': 641.3, 'cena s DPH': 38478.0}, {'název': 'Prostěradlo Jersey+Lycra s gumou 90x200x30', 'množství': 1, 'cena bez DPH': 344.85, 'cena s DPH': 6897.0}, {'název': 'Bryndák nepropustný vzorovaný', 'množství': 1, 'cena bez DPH': 254.1, 'cena s DPH': 10164.0}, {'název': 'Přikrývka MIKRA 140x200 cm', 'množství': 1, 'cena bez DPH': 701.8, 'cena s DPH': 7018.0}, {'název': 'Polštář MIKRA 70x90 cm', 'množství': 1, 'cena bez DPH': 459.8, 'cena s DPH': 13794.0}, {'název': 'Fleecová deka 150x200 cm', 'množství': 1, 'cena bez DPH': 344.85, 'cena s DPH': 8966.1}]",18479919,Sc professional
28,"Sociální služby Vsetín, příspěvková organizace",17123231,49562827,19.11.2021,"59 880,00 CZK",,"dodávka přikrývek,polštářů,ložních souprav","[{'název': 'přikrývka MIKRA 140x200cm', 'množství': 40, 'cena bez DPH': 490, 'cena s DPH': 592.9}, {'název': 'polštář MIKRA 70x90cm', 'množství': 40, 'cena bez DPH': 335, 'cena s DPH': 405.35}, {'název': 'ložní souprava Blake', 'množství': 23, 'cena bez DPH': 420, 'cena s DPH': 508.2}, {'název': 'ložní souprava Sektrum modrá', 'množství': 17, 'cena bez DPH': 420, 'cena s DPH': 508.2}, {'název': 'ložní souprava Spektrum fialová', 'množství': 9, 'cena bez DPH': 420, 'cena s DPH': 508.2}, {'název': 'ložní souprava Hippi fialová', 'množství': 5, 'cena bez DPH': 420, 'cena s DPH': 508.2}, {'název': 'ložní souprava Šachmot modrý', 'množství': 10, 'cena bez DPH': 420, 'cena s DPH': 508.2}]",18430187,Sc professional
29,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",17103087,666238,11.06.2021,,"200 000,00 CZK","Textil: ložní, ručníky, osušky, podložky, žínky","[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",18409203,Sc professional
30,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",17103079,666238,23.08.2021,,"165 000,00 CZK","Textil - ručníky, žínky, ložní prádlo, osušky, prostěradla","[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s dph': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s dph': 18.3}]",18409195,Sc professional
31,"Psychiatrická léčebna Petrohrad, příspěvková organizace",14911395,829137,29.03.2021,"135 000,00 CZK","163 350,00 CZK",Dodávka ložního prádla,"[{'název': 'Ložní souprava (1+1)', 'množství': 300, 'cena bez DPH': 450, 'cena s DPH': 163350}]",16045047,Sc professional
32,Úřad práce ČR - krajská pobočka v Plzni - kontaktní pracoviště Plzeň-město (Úřad práce České republiky),14671003,72496991,05.03.2021,,,DODATEK Č. 2 k dohodě o poskytnutí příspěvku z cíleného programu Antivirus č. DOA-CO-1022473/2020 ze dne 22. 5. 2020,"[{'název': 'příspěvek', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",15762791,Sc professional
33,Palata - Domov pro zrakově postižené,9901724,70872783,05.11.2019,"84 750,00 CZK","102 547,00 CZK",objednávka - ložní prádlo,"[{'název': 'Ložní souprava 1+1 KREP, 100% bavlna, měkčené provedení', 'množství': 120, 'cena bez DPH': 475.0, 'cena s DPH': 57000.0}, {'název': 'Návlek na polštář 70x90cm KREP', 'množství': 40, 'cena bez DPH': 110.0, 'cena s DPH': 4400.0}, {'název': 'Prostěradlo Jersy+Lycra 90x200x30cm', 'množství': 80, 'cena bez DPH': 278.0, 'cena s DPH': 22240.0}, {'název': 'Frote ručník 50x100cm bavlna', 'množství': 15, 'cena bez DPH': 74.0, 'cena s DPH': 1110.0}]",15746747,Sc professional
34,Úřad práce ČR - krajská pobočka v Plzni - kontaktní pracoviště Plzeň-město (Úřad práce České republiky),14628399,72496991,04.03.2021,,,DODATEK k dohodě o poskytnutí příspěvku z cíleného programu Antivirus č. DOA-CO-1022473/2020 ze dne 22. 5. 2020,"[{'název': 'DODATEK', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Režim A plus', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Nucené omezení provozu', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': '100 % náhrady mzdy', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Oznámení o poskytnuté podpoře', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",15711119,Sc professional
35,"Psychiatrická léčebna Petrohrad, příspěvková organizace",13696785,829137,01.12.2020,"211 640,00 CZK","256 084,40 CZK","Kupní smlouva na dodávku ložního prádla, matrací, ručníků a podložek","[{'název': 'Froté ručník', 'množství': 300, 'cena bez DPH': 23400, 'cena s DPH': 28314}, {'název': 'Prostěradlo plátno', 'množství': 250, 'cena bez DPH': 40000, 'cena s DPH': 48400}, {'název': 'Vypínací prostěradlo', 'množství': 100, 'cena bez DPH': 26000, 'cena s DPH': 31460}, {'název': 'Matrace rozměr 90x200x15 cm', 'množství': 20, 'cena bez DPH': 70000, 'cena s DPH': 84700}, {'název': 'Nepropustné návleky na polštáře', 'množství': 20, 'cena bez DPH': 6840, 'cena s DPH': 8276.4}, {'název': 'Nepropustné návleky na přikrývky', 'množství': 20, 'cena bez DPH': 21800, 'cena s DPH': 26378}, {'název': 'Absorpční pratelná podložka pro ochranu lůžka při inkontinenci', 'množství': 20, 'cena bez DPH': 8000, 'cena s DPH': 9680}, {'název': 'Mikrofaserová deka', 'množství': 20, 'cena bez DPH': 6000, 'cena s DPH': 7260}]",14702577,Sc professional
36,Palata - Domov pro zrakově postižené,13289724,70872783,22.10.2020,,"66 773,00 CZK",objednávka - textil,"[{'název': 'Ložní souprava 1+1 KREP, 100% bavlna, měkčené provedení', 'množství': 75, 'cena bez DPH': 475.0, 'cena s DPH': 35625.0}, {'název': 'Návlek na polštář 70x90cm KREP', 'množství': 90, 'cena bez DPH': 110.0, 'cena s DPH': 9900.0}, {'název': 'Froté žínka 15x20, kapsová, oranžová', 'množství': 60, 'cena bez DPH': 22.0, 'cena s DPH': 1320.0}, {'název': 'Froté prostěradlo 90x200x30', 'množství': 30, 'cena bez DPH': 278.0, 'cena s DPH': 8340.0}]",14245344,Sc professional
37,"Centrum sociálních služeb Domažlice, příspěvková organizace",12851604,75007754,11.09.2020,"80 500,00 CZK","97 405,00 CZK",200 ks absorpčních podložek,"[{'název': 'nepropustné absorpční podložky R základní 75 x 90', 'množství': 100, 'cena bez DPH': 375.0, 'cena s DPH': 453.75}, {'název': 'nepropustné absorpční podložky L s fixačními křidélky 75 x 90', 'množství': 100, 'cena bez DPH': 430.0, 'cena s DPH': 520.3}, {'název': 'celkové objednané zboží', 'množství': None, 'cena bez DPH': 80500.0, 'cena s DPH': 97405.0}]",13782340,Sc professional
38,"Centrum sociálních služeb Domažlice, příspěvková organizace",12536432,75007754,03.08.2020,"80 500,00 CZK","97 405,00 CZK",absorpční podložky,"[{'název': 'nepropustné absorpční podložky R základní 75 x 90', 'množství': 100, 'cena bez DPH': 375.0, 'cena s DPH': 453.75}, {'název': 'nepropustné absorpční podložky L s fixačními křidélky 75 x 90', 'množství': 100, 'cena bez DPH': 430.0, 'cena s DPH': 520.3}]",13449796,Sc professional
39,Úřad práce ČR - krajská pobočka v Plzni - kontaktní pracoviště Plzeň-město (Úřad práce České republiky),11898308,72496991,25.05.2020,,,DOHODA o poskytnutí příspěvku z cíleného programu Antivirus č. DOA-CO-1022473/2020,"[{'název': 'Antivirus', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",12776044,Sc professional
40,"Domov pro seniory Havlíčkův Brod, příspěvková organizace",10051636,60128071,20.11.2019,"48 000,00 CZK","58 080,00 CZK",dodávka 150 ks bavlněných ložních souprav 1+1,"[{'název': 'ložní souprava 1+1 (140x200cm) + (70x90cm) knoflíkový uzávěr, materiál 100% bavlna cca 150g/m2', 'množství': 150, 'cena bez DPH': 320, 'cena s DPH': 387.2}, {'název': 'dodávka zboží', 'množství': None, 'cena bez DPH': 48000, 'cena s DPH': 58080}]",10811800,Sc professional
41,Domov pro seniory Chýnov,9906828,75011204,04.11.2019,"80 372,00 CZK","97 250,00 CZK",Objednávka 310/2019,"[{'název': 'Ložní souprava se zapošitím', 'množství': None, 'cena bez DPH': None, 'cena s DPH': 150.0}, {'název': 'Prostěradlo typu obálka', 'množství': 70, 'cena bez DPH': 410.0, 'cena s DPH': 28700.0}, {'název': 'Nepromokavá podložka s úchyty', 'množství': 40, 'cena bez DPH': 500.0, 'cena s DPH': 20000.0}, {'název': 'Nepropustné bryndáky', 'množství': 40, 'cena bez DPH': 260.0, 'cena s DPH': 10400.0}]",10656232,Sc professional
42,Domov důchodců Dobrá Voda,9877808,666262,04.11.2019,,"64 432,50 CZK",Objednávka - č. 614/2019 - prostěradlo vypínací jersey + lycra (guma v tunýlku) - 250 ks,"[{'název': 'prostěradlo vypínací jersey+lycra (guma v tunýlku) 90x200x25 cm (bílá barva)', 'množství': None, 'cena bez DPH': None, 'cena s dph': '250,00 Kč'}]",10625476,Sc professional
43,"Centrum sociálních služeb Domažlice, příspěvková organizace",8924003,75007754,04.07.2019,"80 500,00 CZK","97 405,00 CZK",dodávka nepropustných absorpčních podložek,"[{'název': 'nepropustné absorpční podložky (základní typ)', 'množství': 100, 'cena bez DPH': 454, 'cena s DPH': None}, {'název': 'nepropustné absorpční podložky (s křidélky)', 'množství': 100, 'cena bez DPH': 520, 'cena s DPH': None}]",9615691,Sc professional
44,Domov Zvíkovecká kytička,8471471,70887195,26.04.2019,"98 800,00 CZK","119 548,00 CZK",Objednávka ložních souprav,"[{'název': 'NÁHRADNÍ PLNĚNÍ', 'množství': 200, 'cena bez DPH': None, 'cena s dph': None}]",9137619,Sc professional
45,Domov Zvíkovecká kytička,7313291,70887195,18.12.2018,"105 450,00 CZK","127 595,00 CZK",Nákup prádla pro klienty,"[{'název': '102018', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",7895931,Sc professional
46,"Horské lázně Karlova Studánka, státní podnik",7246511,14450216,07.12.2018,"74 212,00 CZK",,DODÁVKA PŘIKRÝVEK A POLŠTÁŘŮ,"[{'název': 'PŘIKRYVKA MARS', 'množství': 148, 'cena bez DPH': 421.0, 'cena s DPH': 508.41}, {'název': 'POLŠTÁŘ PROŠITÝ', 'množství': 32, 'cena bez DPH': 372.0, 'cena s DPH': 450.12}]",7824291,Sc professional
47,Domov pro seniory Háje,7119667,70875111,19.12.2018,,"194 471,20 CZK",Objednávka ložních souprav,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",7687379,Sc professional
48,"Domov pro seniory Nopova,příspěvková organizace",6804167,70887314,08.12.2017,"142 931,00 CZK","142 931,00 CZK",Dodávka přehozů na postele,"[{'název': 'přehozy na lůžka', 'množství': 225, 'cena bez DPH': 142931, 'cena s DPH': 142931}]",7348711,Sc professional
49,"Centrum sociálních služeb Domažlice, příspěvková organizace",6634875,75007754,29.10.2018,"80 500,00 CZK","97 405,00 CZK",200 ks absorpčních podložek,"[{'název': 'Absorpční podložky R - základní', 'množství': 100, 'cena bez DPH': 453.75, 'cena s DPH': 453.75}, {'název': 'Absorpční podložky L - s fixačními křidélky', 'množství': 100, 'cena bez DPH': 520.3, 'cena s DPH': 520.3}]",7166915,Sc professional
50,"Domov pro seniory Hvízdal České Budějovice, příspěvková organizace",4829640,666238,10.04.2018,,"116 160,00 CZK",Dodávka bavlněného ložního povlečení,"[{'název': 'bavlněné ložní povlečení se zapínáním na knoflíky', 'množství': 300, 'cena bez DPH': None, 'cena s DPH': 116160.0}]",5207892,Sc professional
51,Domov pro seniory Háje,4014520,70875111,16.12.2017,"56 000,00 CZK",,Dodávka pratelných absorpčních podložek,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s DPH': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s DPH': 18.3}]",4322700,Sc professional
52,Domov Zvíkovecká kytička,4007172,70887195,26.09.2017,"137 100,00 CZK","165 891,00 CZK",Nákup ložního prádla,"[{'název': 'prostěradlo bílé 170 x 270 cm', 'množství': 300, 'cena bez DPH': 202.0, 'cena s DPH': 244.42}, {'název': 'ložní souprava bílá polštář + přikrývka s hotelovým uzávěrem', 'množství': 150, 'cena bez DPH': 510.0, 'cena s DPH': 616.1}]",4313372,Sc professional
53,"Domov důchodců Velké Hamry, příspěvková organizace",3606988,71220003,20.11.2017,"63 215,00 CZK","76 490,00 CZK",Objednávka - ložní soupravy,"[{'název': 'Ložní souprava krep 1+1', 'množství': 133, 'cena bez DPH': 475.0, 'cena s DPH': 631.75}, {'název': 'Návlek polštář krep', 'množství': 40, 'cena bez DPH': 1.0, 'cena s DPH': 40.0}]",3890776,Sc professional
54,Palata - Domov pro zrakově postižené,3411652,70872783,01.11.2017,,"94 072,66 CZK",Objednávka,"[{'název': 'Utěrka - otatno', 'množství': 20, 'cena bez DPH': 22.0, 'cena s DPH': 26.62}, {'název': 'Utěrka SUPER', 'množství': 6, 'cena bez DPH': 41.0, 'cena s DPH': 49.61}, {'název': 'Frote ručník', 'množství': 20, 'cena bez DPH': 32.0, 'cena s DPH': 38.72}, {'název': 'Prostěradlo - plátno', 'množství': 30, 'cena bez DPH': 100.0, 'cena s DPH': 121.0}, {'název': 'Ložní souprava', 'množství': 100, 'cena bez DPH': 475.0, 'cena s DPH': 574.75}, {'název': 'Návle - polštář', 'množství': 40, 'cena bez DPH': 98.0, 'cena s DPH': 118.58}, {'název': 'Frote prostěradlo', 'množství': 100, 'cena bez DPH': 220.0, 'cena s DPH': 266.2}]",3679068,Sc professional
55,Domov Libníč a Centrum sociálních služeb Empatie,2758474,666271,23.08.2017,,"121 358,16 CZK",Objednávka ložního prádla,"[{'název': 'máslo', 'množství': 2, 'cena bez DPH': 25, 'cena s dph': 30.5}, {'název': 'mléko', 'množství': 1, 'cena bez DPH': 15, 'cena s dph': 18.3}]",2968670,Sc professional
