,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
10,"Mateřská škola Pitkovice, příspěvková organizace, Praha 10, Hlívová 303/4",25469531,5282446,07.12.2023,"115 305,78 CZK","139 520,00 CZK",Nákup ložních dětských souprav,"[{'název': 'Prošívaný dětský set 45x60, 90x135 cm MICRO', 'množství': 128, 'cena bez DPH': 490.0, 'cena s DPH': 404.96}, {'název': 'Ložní souprava dětská - bavlna 45x60, 90x135cm obrazová, Mandlovací knoflík', 'množství': 240, 'cena bez DPH': 320.0, 'cena s DPH': 264.46}]",27273631,Zdeněk Staněk
11,"Vyšší odborná škola a Střední průmyslová škola, Volyně, Resslova 440",25240283,60650494,21.12.2023,"99 174,00 CZK","120 000,00 CZK",Objednávka bavlněného povlečení,"[{'název': 'bavlněné povlečení LUX 140x200 cm a 70x90 cm, s knoflíkem (nitěným), dezén modrá srdíčka na šedivém podkladu', 'množství': 200, 'cena bez DPH': None, 'cena s DPH': 600}]",27031855,Zdeněk Staněk
12,Střední průmyslová škola a Gymnázium Na Třebešíně,24605555,61385417,02.11.2023,,"66 000,00 CZK",Dodávka povlečení na DM,"[{'název': 'Prošívaný polštář 70x90 cm COMFORT CELPYT', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Hnědá s kostkou', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Modré obrazce', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Šedé a béžové listy', 'množství': None, 'cena bez DPH': None, 'cena s dph': None}]",26340447,Zdeněk Staněk
13,Domov pro seniory Světlo,24019351,70869812,11.09.2023,"52 500,00 CZK","63 525,00 CZK",Objednávka ložní prádla a cenová nabídka,"[{'název': 'povlaky na polštáře a polštářky s výplní', 'množství': None, 'cena bez DPH': '52 500,09 Kč', 'cena s DPH': '63 525,00 Kč'}]",25725503,Zdeněk Staněk
14,Domov důchodců Čáslav,22284997,48677787,24.03.2023,,"100 000,00 CZK",Objednávka zboží,[],23901009,Zdeněk Staněk
15,Domov pro seniory Krč,22239425,70874212,16.03.2023,"113 057,85 CZK","136 800,00 CZK",Dodávka ložního prádla,"[{'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, Hnědo béžové kvítky', 'množství': 50, 'cena bez DPH': 512.4, 'cena s dph': 620.0}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, Bílo oranžové kvítky', 'množství': 60, 'cena bez DPH': 512.4, 'cena s dph': 620.0}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, Zelená kostka', 'množství': 42, 'cena bez DPH': 512.4, 'cena s dph': 620.0}, {'název': 'Prostěradlo jersey 100x200 cm 185g, Čokoláda', 'množství': 50, 'cena bez DPH': 231.4, 'cena s dph': 280.0}, {'název': 'Prostěradlo jersey 100x200 cm 185g, Herman', 'množství': 60, 'cena bez DPH': 231.4, 'cena s dph': 280.0}, {'název': 'Prostěradlo jersey 100x200 cm 185g, Banán', 'množství': 42, 'cena bez DPH': 231.4, 'cena s dph': 280.0}]",23853069,Zdeněk Staněk
16,Fakultní nemocnice v Motole,21925045,64203,14.02.2023,"133 801,65 CZK","161 900,00 CZK",Objednávka zboží - ložní prádlo,"[{'název': 'Ložní souprava bavlna lux 70x90,140x200 cm s barevnými puntíky na bílém podkladu', 'množství': 40, 'cena bez DPH': 553.719, 'cena s DPH': 670.0}, {'název': 'Ložní souprava bavlna lux 70x90,140x200 cm zelenošedé kvítky', 'množství': 80, 'cena bez DPH': 553.719, 'cena s DPH': 670.0}, {'název': 'Prostěradlo jersey 90x200 cm tmavě šedivé', 'množství': 80, 'cena bez DPH': 227.2727, 'cena s DPH': 275.0}, {'název': 'Prostěradlo jersey 90x200 cm barva pudr', 'množství': 80, 'cena bez DPH': 227.2727, 'cena s DPH': 275.0}, {'název': 'Prostěradlo jersey 60 x 120cm barva vanilka', 'množství': 20, 'cena bez DPH': 136.3636, 'cena s DPH': 165.0}, {'název': 'Ložní souprava dětská bavlna 45 x 60,90 x135 cm Ovečka růžová', 'množství': 10, 'cena bez DPH': 305.7851, 'cena s DPH': 370.0}, {'název': 'Ložní souprava dětská bavlna 45 x 60,90 x135 cm Ovečka modrá', 'množství': 10, 'cena bez DPH': 305.7851, 'cena s DPH': 370.0}]",23522141,Zdeněk Staněk
17,"Domov sociálních služeb Liblín, příspěvková organizace",21502857,48379794,29.12.2022,,"163 130,00 CZK","ložní prádlo,polštáře,peřiny","[{'název': 'prostěradlo jersey', 'množství': 66, 'cena bez DPH': None, 'cena s DPH': 280.0}, {'název': 'prostěradlo jersey, prodloužené', 'množství': 64, 'cena bez DPH': None, 'cena s DPH': 420.0}, {'název': 'ložní souprava', 'množství': 130, 'cena bez DPH': None, 'cena s DPH': 620.0}, {'název': 'povlak na polštář', 'množství': 130, 'cena bez DPH': None, 'cena s DPH': 120.0}, {'název': 'prošívaný polštář', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': 400.0}, {'název': 'set polštář + peřina', 'množství': 4, 'cena bez DPH': None, 'cena s DPH': 930.0}, {'název': 'ručník', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': 87.0}, {'název': 'poštovné', 'množství': 1, 'cena bez DPH': None, 'cena s DPH': 1500.0}]",23075517,Zdeněk Staněk
18,Střední průmyslová škola a Gymnázium Na Třebešíně,21509537,61385417,16.12.2022,,"149 670,00 CZK",dodávka povlečení,"[{'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Tyrkysové ornamenty', 'množství': 50, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Barevná kolečka', 'množství': 50, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava bavlna lux 70x90, 140x200cm, hotelový uzávěr, Zelená kolečka', 'množství': 51, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo froté 90x200 cm, Královská modrá', 'množství': 50, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo froté 90x200 cm, Klasová', 'množství': 50, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Prostěradlo bavlněné 150x230 cm bílé 145g/m2', 'množství': 100, 'cena bez DPH': None, 'cena s dph': None}]",23082901,Zdeněk Staněk
19,Integrované centrum pro osoby se zdravotním postižením Horní Poustevna,21362645,70872686,04.11.2022,"66 330,00 CZK","80 260,00 CZK",Deky a polštáře,"[{'název': 'prošívaná přikrývka COMFORT PYT', 'množství': 76, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prošívaný polštář COMFORT CELPYT', 'množství': 82, 'cena bez DPH': None, 'cena s DPH': None}]",22926489,Zdeněk Staněk
20,Integrované centrum pro osoby se zdravotním postižením Horní Poustevna,21362545,70872686,05.12.2022,"95 427,27 CZK","115 467,00 CZK",Povlečení a ručníky,"[{'název': 'Ložní souprava - obrazová 70x90, 140x200 cm', 'množství': 1, 'cena bez DPH': 380.17, 'cena s DPH': 460.0}, {'název': 'Osuška licence 70x140cm', 'množství': 1, 'cena bez DPH': 205.79, 'cena s DPH': 249.0}]",22926389,Zdeněk Staněk
21,Domov důchodců Čáslav,21216573,48677787,24.11.2022,,"54 400,00 CZK","Objednávka ložního prádla, přikrývek, polštářů","[{'název': 'Polštářek 40x40cm s dutým vláknem', 'množství': 10, 'cena bez DPH': '90,00 Kč', 'cena s DPH': None}, {'název': 'Povlak bavlna lux 40x40cm', 'množství': 20, 'cena bez DPH': '60,00 Kč', 'cena s DPH': None}, {'název': 'Plněný polštář lux 40x60cm', 'množství': 10, 'cena bez DPH': '170,00 Kč', 'cena s DPH': None}, {'název': 'Povlak bavlna lux 40x60cm', 'množství': 10, 'cena bez DPH': '80,00 Kč', 'cena s DPH': None}, {'název': 'Přikrývka celoroční Comfort plus 135x200cm', 'množství': 5, 'cena bez DPH': '530,00 Kč', 'cena s DPH': None}, {'název': 'Povlečení bavlna lux béžová s kytkou 140x200cm', 'množství': 10, 'cena bez DPH': '760,00Kč', 'cena s DPH': None}, {'název': 'Povlečení bavlna lux tyrkysové ornamenty 140x200cm', 'množství': 40, 'cena bez DPH': '760,00 Kč', 'cena s DPH': None}, {'název': 'Přehoz na postel 175x135cm', 'množství': 15, 'cena bez DPH': '580,00 Kč', 'cena s DPH': None}, {'název': 'poštovné', 'množství': 1, 'cena bez DPH': '450,00 Kč', 'cena s DPH': None}]",22767813,Zdeněk Staněk
22,"Mateřská škola, Česká Lípa, Arbesova 411, příspěvková organizace",21152913,70982104,12.12.2022,"70 371,89 CZK","85 150,00 CZK","Nákup dětských ručníků,prošívaných dětských setů, ložních souprav a prostěradel","[{'název': 'Prošívaný dětský set 45x60, 90x135 cm ELEGANCE', 'množství': 40, 'cena bez DPH': 550.0, 'cena s DPH': 665.5}, {'název': 'Ložní souprava dětská - bavlna 45x60, 90x135cm obrazová, Mašinka a letadla', 'množství': 40, 'cena bez DPH': 320.0, 'cena s DPH': 387.2}, {'název': 'Prostěradlo froté 60x120 cm, Lomikámen', 'množství': 40, 'cena bez DPH': 155.0, 'cena s DPH': 187.55}, {'název': 'Prostěradlo froté 60x120 cm, Banán', 'množství': 40, 'cena bez DPH': 155.0, 'cena s DPH': 187.55}, {'název': 'Poštovné', 'množství': None, 'cena bez DPH': 619.83, 'cena s DPH': 750.0}]",22701429,Zdeněk Staněk
23,"Domov Sedlčany, poskytovatel sociálních služeb",20952117,42727227,25.11.2022,"453 719,01 CZK",,"Kupní smlouva na dodání 300 ks polštářů, přikrývek a povlečení","[{'název': 'polštáře', 'množství': 300, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'přikrývky', 'množství': 300, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'povlečení na polštáře a přikrývky', 'množství': 300, 'cena bez DPH': None, 'cena s DPH': None}]",22490141,Zdeněk Staněk
24,Domov Dědina,20889885,42886163,21.11.2022,"51 078,50 CZK","61 805,00 CZK",Objednávka ložního prádla II,"[{'název': 'Polštář s vyjímatelným vakem 70x90', 'množství': 4, 'cena bez DPH': None, 'cena s dph': 540}, {'název': 'Prostěradlo froté atyp 90x200x16', 'množství': 79, 'cena bez DPH': None, 'cena s dph': 365}, {'název': 'Povlečení krep LUX na zip 70x90 + 140x200', 'množství': 39, 'cena bez DPH': None, 'cena s dph': 790}]",22425169,Zdeněk Staněk
25,"Domov sociálních služeb Liblín, příspěvková organizace",20851005,48379794,14.11.2022,,"141 560,00 CZK","prostěradla,ložní soupravy","[{'název': 'prostěradlo jersey', 'množství': 66, 'cena bez DPH': 231.4, 'cena s DPH': 280.0}, {'název': 'prostěradlo jersey, prodloužené', 'množství': 64, 'cena bez DPH': 347.11, 'cena s DPH': 420.0}, {'název': 'ložní souprava', 'množství': 130, 'cena bez DPH': 512.4, 'cena s DPH': 620.0}, {'název': 'povlak na polštář', 'množství': 130, 'cena bez DPH': 99.17, 'cena s DPH': 120.0}]",22384581,Zdeněk Staněk
26,Domov Dědina,20814505,42886163,15.11.2022,"125 020,66 CZK","151 275,00 CZK",Objednávka ložního prádla,"[{'název': 'Přikrývka celoroční 135x200', 'množství': 25, 'cena bez DPH': 785, 'cena s DPH': None}, {'název': 'Polštář s vyjjimatelným vakem 70x90', 'množství': None, 'cena bez DPH': 540, 'cena s DPH': None}, {'název': 'Prostěradlo froté atyp 90x200x16', 'množství': 126, 'cena bez DPH': 365, 'cena s DPH': None}, {'název': 'Povlečení krep LUX na zip 70x90 + 140x200', 'množství': 54, 'cena bez DPH': 790, 'cena s DPH': None}, {'název': 'Ručník 500g/m2 50x90', 'množství': 200, 'cena bez DPH': 140, 'cena s DPH': None}]",22345961,Zdeněk Staněk
27,"Domov mládeže a školní jídelna, Praha 2, Neklanova 32",20686709,65992351,01.11.2022,,"86 450,00 CZK",Ložní soupravy,"[{'název': 'cícha a povlak na polštář', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo do gumy', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Ložní souprava krep lux 70x90,140x200cm', 'množství': 100, 'cena bez DPH': 537.19, 'cena s DPH': 650.0}, {'název': 'Prostéraclo bavlněné 90x203 cm napínací barevné', 'množství': 100, 'cena bez DPH': 214.88, 'cena s DPH': 260.0}]",22212405,Zdeněk Staněk
28,Domov pro seniory Háje,20581889,70875111,13.10.2022,"51 198,35 CZK",,Objednávka mikroplyšových dek,"[{'název': 'mikroplyšové deky s beránkem, typ tmavě šedá s trojúhelníky, č. 6722, rozměr 150 x 200 cm', 'množství': 105, 'cena bez DPH': None, 'cena s DPH': 590}]",22101553,Zdeněk Staněk
29,Domov pro seniory Háje,20582205,70875111,24.10.2022,"51 198,35 CZK",,Objednávka mikroplyšových dek,"[{'název': 'mikroplyšové deky s beránkem, typ tmavě šedá s trojúhelníky', 'množství': 105, 'cena bez DPH': None, 'cena s dph': 590}]",22101877,Zdeněk Staněk
30,"Domov pro seniory Burešov, příspěvková organizace",20083023,70851042,01.09.2022,"134 545,46 CZK","162 800,00 CZK",Prošívané polštáře a přikrývky,"[{'název': 'prošívaná přikrývka 135x200 cm COMFORT PYT', 'množství': 170, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prošívaný polštář 70x90 cm COMFORT VAKPYT', 'množství': 170, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'plněný polštář lux 40x40 cm, 45x50 cm, zašitý', 'množství': 70, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prošívaný polštář euro 50x70 cm kulička, ATYP 40x80 cm, zašitý', 'množství': 40, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'povlak ložní 40x40 cm krep lux', 'množství': 70, 'cena bez DPH': None, 'cena s DPH': None}]",21577231,Zdeněk Staněk
31,IKEM,19626663,23001,19.07.2022,"300 000,00 CZK",,"Kupní smlouva, Dodávky dek a polštářů II","[{'název': 'Deka 135-140 x 200 cm, 960g slabá -letní', 'množství': None, 'cena bez DPH': '380,00 Kč', 'cena s DPH': None}, {'název': 'Deka 135-140 x 200 cm, 1150g celoroční', 'množství': None, 'cena bez DPH': '440,00 Kč', 'cena s DPH': None}, {'název': 'Deka 140-150 x 200 cm 960g PLÉD', 'množství': None, 'cena bez DPH': '240,00 Kč', 'cena s DPH': None}, {'název': 'Polštář 40 x 40 cm 210g se zipem', 'množství': None, 'cena bez DPH': '120,00 Kč', 'cena s DPH': None}, {'název': 'Polštář 70 x 90 cm 700g se zipem', 'množství': None, 'cena bez DPH': '360,00 Kč', 'cena s DPH': None}, {'název': 'Polštář 50 x 70 cm, 470g', 'množství': None, 'cena bez DPH': '320,00 Kč', 'cena s DPH': None}]",21095835,Zdeněk Staněk
32,"Domov pro seniory Burešov, příspěvková organizace",18902219,70851042,11.05.2022,"193 198,33 CZK","233 770,00 CZK",ložní soupravy a prostěradla,"[{'název': 'Ložní souprava krep lux, Zelenošedivé kvítky', 'množství': 115, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'Ložní souprava krep lux, Mozaika modrá', 'množství': 68, 'cena bez DPH': None, 'cena s dph': None}]",20311267,Zdeněk Staněk
33,Zdravotnická záchranná služba Pardubického kraje,17638251,69172196,06.01.2022,,"179 970,00 CZK",Objednávka - jednorázový plášť,"[{'název': 'Jednorázový plášt 50g/m2', 'množství': 2100, 'cena bez DPH': 70, 'cena s DPH': None}]",18975679,Zdeněk Staněk
34,"Domov mládeže a školní jídelna, Praha 2, Neklanova 32",17515927,65992351,18.12.2021,,"71 600,00 CZK","Nákup ložních souprav, růčníků, osušek","[{'název': 'Froté osuška - HOTEL 2S bílá', 'množství': 20, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Froté ručník - Hotel 2S bílý', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'cícha a povlak na polštář', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradlo', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': None}]",18844275,Zdeněk Staněk
35,"Vyšší odborná škola a Střední průmyslová škola, Volyně, Resslova 440",17388511,60650494,13.12.2021,"55 785,00 CZK","67 500,00 CZK",Objednávka povlečení na domov mládeže,"[{'název': 'Bavlněné povlečení LUX Zelená kolečka', 'množství': 150, 'cena bez DPH': None, 'cena s DPH': 450}]",18708975,Zdeněk Staněk
36,"Střední odborná škola a Střední odborné učiliště, Písek, Komenského 86",15582795,511382,01.06.2021,"57 851,24 CZK","70 000,00 CZK",Objednáváme dle zadání paní Minakové 80ks televizních přehozů a 300 ks prostěradel.,"[{'název': 'televizní přehozy', 'množství': 80, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradla', 'množství': 300, 'cena bez DPH': None, 'cena s DPH': None}]",16776231,Zdeněk Staněk
37,Město Svitavy,15074135,277444,13.04.2021,"79 297,52 CZK","95 950,00 CZK",Objednávka na vybavení Seniorcentra města Svitavy,"[{'název': 'vybavení nového domova Seniorcentra Svitavy', 'množství': None, 'cena bez DPH': None, 'cena s dph': '95 950,00Kč'}]",16225663,Zdeněk Staněk
38,Zdravotnická záchranná služba Pardubického kraje,14619475,69172196,04.03.2021,,"179 960,00 CZK",Objednávka - jednorázový plášť,"[{'název': 'Jednorázový plášt 50g/m2', 'množství': 2100, 'cena bez DPH': 70, 'cena s dph': None}]",15700195,Zdeněk Staněk
39,Městské služby Písek s.r.o.,14295767,26016541,01.01.2021,"55 244,80 CZK",,Smlouva o svozu směsného komunálního odpadu + dodatek pro rok 2021,[],15349827,Zdeněk Staněk
40,MV - generální ředitelství HZS ČR,13496296,7064,10.11.2020,"237 066,12 CZK","286 850,00 CZK",dodávka ložního prádla SVZBR,"[{'název': 'Ložní souprava LUX - 100% bavlna, 145g/m2 (140x200 + 70x90, nitěný mandlovací knoflík)', 'množství': 4, 'cena bez DPH': 37200, 'cena s DPH': 141360.0}, {'název': 'Prostěradlo PLACHTA 100% bavlna bilá 170g/m2, 150x240cm', 'množství': None, 'cena bez DPH': 17, 'cena s DPH': 380.0}, {'název': 'Froté prostěradlo jednobarevné 90x200 190g/m2, pro matrace do 16cm', 'množství': None, 'cena bez DPH': 204.0, 'cena s DPH': 28560.0}, {'název': 'Ručník froté Jerry (450g/m2, 50x90 cm)', 'množství': None, 'cena bez DPH': 4230.0, 'cena s DPH': None}, {'název': 'Osuška froté Jerry (450g/m2, 70x140 cm)', 'množství': None, 'cena bez DPH': 950.0, 'cena s DPH': None}, {'název': 'Pracovní ručník (200g/m2, 50x90 cm)', 'množství': None, 'cena bez DPH': 3000.0, 'cena s DPH': None}, {'název': 'Utěrka (200g/m2, 50x70 cm)', 'množství': None, 'cena bez DPH': 3080.0, 'cena s DPH': None}, {'název': 'Prošívaná přikrývka COMFORT odlehčená (135x200, sendvičový prošev pro časté praní, váha 1500g)', 'množství': None, 'cena bez DPH': 25800.0, 'cena s DPH': None}, {'název': 'Prodyšný matracový chránič NEPROPUSTNÝ 90x200 (svrchní strana 100% bavlna, uvnitř PES rouno, spodní strana polyuretanový závěr)', 'množství': None, 'cena bez DPH': 42000.0, 'cena s DPH': None}]",14470004,Zdeněk Staněk
41,Nemocnice Na Homolce,13296684,23884,22.10.2020,"600 000,00 CZK","726 000,00 CZK",Objednávka NOSZM20010742 - zdravotnický materiál,"[{'název': 'Zdeněk Staněk Plášť jednorázový bílý', 'množství': 8000, 'cena bez DPH': None, 'cena s DPH': 90.75}]",14252880,Zdeněk Staněk
42,Zdravotnická záchranná služba Pardubického kraje,13219120,69172196,16.10.2020,,"191 180,00 CZK",Objednávka - jednorázový nesterilní plášť,"[{'název': 'Jednorázový nesterilní plášť', 'množství': 2000, 'cena bez DPH': 79, 'cena s dph': None}]",14169128,Zdeněk Staněk
43,Vojenská lázeňská a rekreační zařízení,12944476,582,21.09.2020,"100 640,00 CZK",,01-Nákup (doplnění) textilu a prádla pro potřeby ubytovacího úseku,"[{'název': 'Povlak na přikrývku 140x200 cm, hotel.uzávěr 35 cm', 'množství': 20, 'cena bez DPH': 415.0, 'cena s dph': None}, {'název': 'Povlak na polštář 70x90 cm, hotelový uzávěr 30 cm', 'množství': 20, 'cena bez DPH': 105.0, 'cena s dph': None}, {'název': 'Chránič matrace 90x200 cm — prošívaný, bílý, praní 909 C', 'množství': 20, 'cena bez DPH': 295.0, 'cena s dph': None}, {'název': 'Ručník froté 50x100 cm, walkové froté, 100% bavlna, barva bílá', 'množství': None, 'cena bez DPH': 45.0, 'cena s dph': None}, {'název': 'Osuška froté 70x140 cm, walkové froté, 100% bavlna, barva bílá', 'množství': None, 'cena bez DPH': 85.0, 'cena s dph': None}, {'název': 'Prostěradlo hotelové bílé - 100% bavna 150x240 cm - 145g/m2', 'množství': None, 'cena bez DPH': 138.0, 'cena s dph': None}, {'název': 'Froté župan TOP 380, bílý, 100% bavlna velikost L', 'množství': None, 'cena bez DPH': 275.0, 'cena s dph': None}, {'název': 'Froté prostěradlo 220x200 cm, 190g/m2, barva vanilka, guma do tunýlku', 'množství': None, 'cena bez DPH': 280.0, 'cena s dph': None}, {'název': 'Prostěradlo zábalové bílé 150x200 cm, 150g/m2, 100% bavlna', 'množství': 50, 'cena bez DPH': 118.0, 'cena s dph': None}, {'název': 'Prostěradlo zábalové tmavé barvy (např. tmavě hnědá, černá, tmavě modrá) 220x200 cm, 150g/m2, 100% bavlna vysrážená', 'množství': 50, 'cena bez DPH': 286.0, 'cena s dph': None}, {'název': 'Prostěradlo zábalové bílé, 220x240 cm, 100% bavlna, 150g/m2', 'množství': 100, 'cena bez DPH': 210.0, 'cena s dph': None}, {'název': 'Ručník froté 30x50 cm, walkové froté, 100% bavlna', 'množství': 30, 'cena bez DPH': 18.0, 'cena s dph': None}, {'název': 'Ručník froté 90x50 cm „walkové froté, 100% bavlna typu"" Ouality"", barva světle modrá, 400 g/m2', 'množství': 100, 'cena bez DPH': 35.0, 'cena s dph': None}]",13880136,Zdeněk Staněk
44,Nemocnice Na Homolce,12540280,23884,27.07.2020,"600 000,00 CZK","726 000,00 CZK",Objednávka NOSZM20007531 - zdravotnický materiál,"[{'název': 'Zdeněk Staněk Plášť jednorázový bílý', 'množství': 8000, 'cena bez DPH': None, 'cena s DPH': 90.75}]",13453852,Zdeněk Staněk
