,Odběratel,ID,IČO,Datum uzavření smlouvy,Cena_bez_dph,Cena_s_dph,Předmět smlouvy,zboží,ID verze,Dodavatel
11,"Domov Slunovrat, Ostrava-Přívoz, příspěvková organizace",29430376,70631841,03.12.2024,,"83 390,00 CZK",Objednávka zažehlovacího lisu,"[{'název': 'Zažehlovací lis RS 100 Nr', 'množství': 1, 'cena bez DPH': '36 776,88 Kč', 'cena s DPH': '44 460,00 Kč'}, {'název': 'Tiskárna EPSON LO 630', 'množství': 1, 'cena bez DPH': '10 986,00 Kč', 'cena s DPH': '13 293,00 Kč'}, {'název': 'Barvicí páska', 'množství': 1, 'cena bez DPH': '939,00 Kč', 'cena s DPH': '1 137,00 Kč'}, {'název': 'Držák roli (nerez)', 'množství': 1, 'cena bez DPH': '1 907,50 Kč', 'cena s DPH': '2 308,00 Kč'}, {'název': 'Role se štítky (50 m)', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Sprej pro odstraňování zažehlovacích štítků', 'množství': 1, 'cena bez DPH': '500,00 Kč', 'cena s DPH': '605,00 Kč'}, {'název': 'SW pro potisk štítků', 'množství': 1, 'cena bez DPH': '980,00 Kč', 'cena s DPH': '1 186,00 Kč'}, {'název': 'Jízdné', 'množství': 330, 'cena bez DPH': '14,40 Kč', 'cena s DPH': '17,44 Kč'}, {'název': 'Práce', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",31445548,Apos Brno
12,"Domov ve Zboží, příspěvková organizace",29396360,60128097,02.12.2024,"200 000,00 CZK","242 000,00 CZK","Dodatek č. 1 ke Kupní smlouvě. Roční odběr zboží nepřekročí 200.000,- Kč bez DPH. Doba určitá do 31.12.2025.",[],31410356,Apos Brno
13,Domov důchodců Náchod,29407436,71193987,12.12.2024,"71 486,00 CZK","86 498,00 CZK",Dodání 2ks evakuačních křesel a 20 ks přemisťovacích podložek,"[{'název': 'Evakuační křeslo VERSA', 'množství': 2, 'cena bez DPH': 29223, 'cena s DPH': 35359.8}, {'název': 'Přemisťovací podložka TransferSheet Bariatric', 'množství': 4, 'cena bez DPH': 652, 'cena s DPH': None}]",31421944,Apos Brno
14,"Centrum sociálních služeb Znojmo, příspěvková organizace",29377464,45671770,12.12.2024,,"74 323,00 CZK",Kupní smlouva - ochranné polstrování postranic lůžek,"[{'název': 'Ochranné polstrování postranic pár (large 87x195)', 'množství': 20, 'cena bez DPH': 1829.2, 'cena s DPH': 2212.12}, {'název': 'Ochranné polstrování postranic pár (little 87x83)', 'množství': 20, 'cena bez DPH': 1371.9, 'cena s DPH': 1659.49}, {'název': 'Zásilkové výdaje (POB)', 'množství': 5, 'cena bez DPH': 127, 'cena s DPH': 153.67}]",31390072,Apos Brno
15,Domovy Na Třešňovce,29374124,71193952,12.12.2024,,"99 796,00 CZK",Nákup inkontinenčních podložek do lůžka,"[{'název': 'podložka FUSION 90x90 (se záhyby)', 'množství': 158, 'cena bez DPH': None, 'cena s DPH': None}]",31386548,Apos Brno
16,"Domov Odry, příspěvková organizace",29367212,48804894,11.12.2024,"50 306,00 CZK","50 306,00 CZK",Objednávka obálkových protěradel,"[{'název': 'prostěradla obálkového typu', 'množství': 120, 'cena bez DPH': 497.3, 'cena s DPH': 596.76}]",31379236,Apos Brno
17,Domov se zvláštním režimem Krásná Lípa,29330616,70872741,04.12.2024,"95 005,79 CZK","114 957,00 CZK","Objednávka (smlouva) Prostěradla elastická obálkového střihu, povlečení bavlněné, Čelakovského 40/13, Krásná Lípa, 407 46.","[{'název': 'prostěradla elastická obálkového střihu', 'množství': None, 'cena bez DPH': 95005.79, 'cena s DPH': None}]",31340864,Apos Brno
18,Domov Libníč a Centrum sociálních služeb Empatie,29298044,666271,05.12.2024,"72 400,00 CZK",,Objednávka - 140 ks bavlněného povlečení pro DZR Domov Libníč 17.,"[{'název': 'bavlněné povlečení Patrik modrý', 'množství': 35, 'cena bez DPH': 516.96, 'cena s DPH': None}, {'název': 'bavlněné povlečení Peříčka fialová', 'množství': 20, 'cena bez DPH': 516.96, 'cena s DPH': None}, {'název': 'bavlněné povlečení Peříčka mentolová', 'množství': 15, 'cena bez DPH': 516.96, 'cena s DPH': None}, {'název': 'bavlněné povlečení Julius modrý', 'množství': 35, 'cena bez DPH': 516.96, 'cena s DPH': None}, {'název': 'bavlněné povlečení Patrik šedý', 'množství': 35, 'cena bez DPH': 516.96, 'cena s DPH': None}]",31307076,Apos Brno
19,Léčebna dlouhodobě nemocných,29293236,45243956,05.12.2024,"63 392,00 CZK","76 704,32 CZK",Evakuační podložky - 34ks vč. dopravy,"[{'název': 'Evakuační podložka', 'množství': 2, 'cena bez DPH': 1857.0, 'cena s DPH': 2236.97}, {'název': 'Zásilkové výdaje (PoB)', 'množství': 2, 'cena bez DPH': 127.0, 'cena s DPH': 153.67}, {'název': 'Reflexní štítek reflex evakuace bílý', 'množství': 34, 'cena bez DPH': 23.0, 'cena s DPH': 27.83}]",31302076,Apos Brno
20,"Domov pro seniory Červenka, příspěvková organizace",29272704,75004402,05.12.2024,"81 676,00 CZK","98 828,00 CZK",Objednávka - Elastické potahy na ochranu matrace a podložky,"[{'název': 'Elastický potah na ochranu matrace', 'množství': 40, 'cena bez DPH': 1064.0, 'cena s DPH': 51497.6}, {'název': 'Elastický potah na ochranu matrace', 'množství': 1, 'cena bez DPH': -2128.0, 'cena s DPH': -2574.88}, {'název': 'Podložka FUSION 90x90', 'množství': 80, 'cena bez DPH': 536.0, 'cena s DPH': 51884.8}, {'název': 'Podložka FUSION 90x90', 'množství': 1, 'cena bez DPH': -2144.0, 'cena s DPH': -2594.24}, {'název': 'Zásilkové výdaje', 'množství': 4, 'cena bez DPH': 127.0, 'cena s DPH': 614.68}]",31280496,Apos Brno
21,"Domov pro seniory Havlíčkův Brod, příspěvková organizace",29252816,60128071,28.11.2024,"185 533,00 CZK","224 495,00 CZK",dodávka 103 ks evakuačních podložek SKI SHEET 3 N a 103 ks reflexních štítků evakuace bílých,"[{'název': 'Evakuační podložka SKI SHEET 3 N', 'množství': 103, 'cena bez DPH': 185533, 'cena s DPH': None}, {'název': 'Reflexní štítek evakuace bílý', 'množství': 103, 'cena bez DPH': None, 'cena s DPH': None}]",31259208,Apos Brno
22,SOCIÁLNÍ SLUŽBY LANŠKROUN,29230344,75081849,28.11.2024,,"92 674,00 CZK","objednávka body šedé se zipem M, L, XL","[{'název': 'bodyšedé se zipem XL', 'množství': 40, 'cena bez DPH': 926.74, 'cena s DPH': 1121.95}, {'název': 'bodyšedé se zipem L', 'množství': 40, 'cena bez DPH': 926.74, 'cena s DPH': 1121.95}, {'název': 'bodyšedé se zipem M', 'množství': 20, 'cena bez DPH': 926.74, 'cena s DPH': 1121.95}]",31235760,Apos Brno
23,Domov důchodců Dvůr Králové nad Labem,29240704,194964,29.11.2024,,"87 631,00 CZK",Objednávka podložek a chráničů,"[{'název': 'Podložka DERMACARE 90x90 (se záhyby)', 'množství': 100, 'cena bez DPH': '580 Kč', 'cena s DPH': None}, {'název': 'Chránič oděvu velký 45x90 (vzor_3_bez_kapsy)', 'množství': 50, 'cena bez DPH': '340 Kč', 'cena s DPH': None}, {'název': 'Elastické prostěradlo obálkového střihu (meruňkové)', 'množství': 5, 'cena bez DPH': '411 Kč', 'cena s DPH': None}, {'název': 'Elastické prostěradlo obálkového střihu (modré)', 'množství': 5, 'cena bez DPH': '411 Kč', 'cena s DPH': None}, {'název': 'Zásilkové výdaje (POB)', 'množství': 5, 'cena bez DPH': '127 Kč', 'cena s DPH': None}]",31246552,Apos Brno
24,"Domov důchodců Velké Hamry, příspěvková organizace",29218868,71220003,07.10.2024,,"61 390,00 CZK",Objednávka - prostěradla,"[{'název': 'elastické prostěradlo obálkového střihu bílé', 'množství': 37, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'elastické prostěradlo obálkového střihu žluté', 'množství': 38, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'elastické prostěradlo obálkového střihu zelené', 'množství': 36, 'cena bez DPH': None, 'cena s dph': None}, {'název': 'elastické prostěradlo obálkového střihu meruňkové', 'množství': 22, 'cena bez DPH': None, 'cena s dph': None}]",31223660,Apos Brno
25,Domov u fontány,29211804,71176225,22.11.2024,"86 936,36 CZK","105 193,00 CZK",Dodání 8ks evakuačních podložek,"[{'název': 'evakuační podložky Albac Mat (large)', 'množství': 8, 'cena bez DPH': None, 'cena s dph': None}]",31216328,Apos Brno
26,"Centrum služeb pro seniory Kyjov, příspěvková organizace",29193792,46937099,28.11.2024,"575 194,00 CZK",,Kupní smlouva - Bezdrátová signalizace,"[{'název': 'Centrální řídící panel s dotykovou obrazovkou', 'množství': 1, 'cena bez DPH': 42360, 'cena s DPH': None}, {'název': 'Nástěnná signalizační jednotka, koncové tlačítko 3V komplet', 'množství': 70, 'cena bez DPH': 3283.2, 'cena s DPH': None}, {'název': 'Nástěnná signalizační jednotka/WC lanko/kroužek 3V komplet', 'množství': 12, 'cena bez DPH': 2986, 'cena s DPH': None}, {'název': 'Kabel 2,5 m s velkoplošným tlačítkem', 'množství': 10, 'cena bez DPH': 804.8, 'cena s DPH': None}, {'název': 'Vysílač na pagery', 'množství': 1, 'cena bez DPH': 25980, 'cena s DPH': None}, {'název': 'Pager dvouřádkový', 'množství': 8, 'cena bez DPH': 4854, 'cena s DPH': None}, {'název': 'Signalizační tlačítko přenosné náramkové/závěsné', 'množství': 1, 'cena bez DPH': 4095, 'cena s DPH': None}, {'název': 'Prostorový RF snímač', 'množství': 1, 'cena bez DPH': 12390, 'cena s DPH': None}, {'název': 'Zesilovač signálu - repeater komplet', 'množství': 2, 'cena bez DPH': 10395, 'cena s DPH': None}, {'název': 'Nástěnný světelný alarm se sirénou', 'množství': 29, 'cena bez DPH': 4347, 'cena s DPH': None}, {'název': 'Síťový adaptér 230/15 V', 'množství': 4, 'cena bez DPH': 180, 'cena s DPH': None}, {'název': 'Práce technika (montáž)', 'množství': 34, 'cena bez DPH': 890, 'cena s DPH': None}]",31197644,Apos Brno
27,"Sociální služby města České Lípy, příspěvková organizace",29192200,72745339,28.11.2024,"85 937,00 CZK",,"Nákup zdravotních pomůcek - 1 ks zvedací židle, 30 ks podložka na křesla, 100 ks podložka se záhyby","[{'název': 'zvedací židle pevná (Hebix starr)', 'množství': 1, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'podložka na křesla Sonoma 43x61 cm (podložka na křesla S)', 'množství': 30, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'podložka SONOMA 85x90 (se záhyby)', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'zásilkové výdaje (POB)', 'množství': 5, 'cena bez DPH': None, 'cena s DPH': None}]",31195960,Apos Brno
28,"Domov pro seniory Máj České Budějovice, příspěvková organizace",29185112,71173064,20.11.2024,"83 768,00 CZK","101 360,00 CZK",APOS BRNO-nákup elastických prostěradel,"[{'název': 'Elastické prostěradlo obálkového stříhu', 'množství': 139, 'cena bez DPH': 411.0, 'cena s dph': None}, {'název': 'SMART elastické napínací prostěradlo', 'množství': 40, 'cena bez DPH': 411.0, 'cena s dph': None}, {'název': 'Chránič oděvů velký 45x90', 'množství': 30, 'cena bez DPH': 340.0, 'cena s dph': None}]",31188552,Apos Brno
29,"Nemocnice Jablonec nad Nisou, p.o.",29169768,829838,26.11.2024,"50 554,00 CZK",,Objednávka operačních plášťů.,"[{'název': 'Operační pláště dle cenové nabídky č. VN242481', 'množství': 100, 'cena bez DPH': 503.0, 'cena s DPH': 50300.0}, {'název': 'Doprava', 'množství': 1, 'cena bez DPH': 254.0, 'cena s DPH': 254.0}]",31172468,Apos Brno
30,Domov pro osoby se zdravotním postižením Zběšičky,29149012,70869669,22.11.2024,,"70 898,00 CZK",Objednávka č. 18/2024 na systém značení prádla,"[{'název': 'Zažehlovací lis RS 100 Nr', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Tiskárna EPSON LO 630', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Barvicí páska do tiskárny Epson LO 630', 'množství': None, 'cena bez DPH': '3105 Kč', 'cena s DPH': '3105 Kč'}, {'název': 'Držák rolí (nerez) DR100', 'množství': None, 'cena bez DPH': '10986 Kč', 'cena s DPH': '10986 Kč'}, {'název': 'Sprej pro odstraňování zažehlovacích štítků', 'množství': None, 'cena bez DPH': '3076 Kč', 'cena s DPH': '3076 Kč'}, {'název': 'Role se štítky 2x41x17 (bílá)', 'množství': None, 'cena bez DPH': '500 Kč', 'cena s DPH': '500 Kč'}, {'název': 'Role se štítky 2x41x17', 'množství': None, 'cena bez DPH': '5148 Kč', 'cena s DPH': '5148 Kč'}, {'název': 'Role se štítky 2x41x17', 'množství': None, 'cena bez DPH': '5028 Kč', 'cena s DPH': '5028 Kč'}, {'název': 'Z hod.', 'množství': None, 'cena bez DPH': '890 Kč', 'cena s DPH': '1780 Kč'}]",31150788,Apos Brno
31,Domov pro osoby se zdravotním postižením Zběšičky,29148796,70869669,22.11.2024,,"99 818,00 CZK",Objednávka č. 17/2024 na systém označení prádla,"[{'název': 'Zažehlovací lis RS 100', 'množství': 1, 'cena bez DPH': '31405 Kč', 'cena s DPH': None}, {'název': 'Tiskárna EPSON LO630', 'množství': 11, 'cena bez DPH': '10986 Kč', 'cena s DPH': '10986 Kč'}, {'název': 'SW pro potisk štítků APOS LabelPrint', 'množství': 1, 'cena bez DPH': '6821 Kč', 'cena s DPH': '6821 Kč'}, {'název': 'Držák rolí (nerez)', 'množství': None, 'cena bez DPH': '1907 Kč', 'cena s DPH': '1907 Kč'}, {'název': 'Sprej pro odstraňování zažehlovacích štítků', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Školení personálu', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Role se štítky 82x17 (žlutá)', 'množství': 50, 'cena bez DPH': '5928 Kč', 'cena s DPH': '5928 Kč'}, {'název': 'Role se štítky 82x17 (sv. zelená)', 'množství': 50, 'cena bez DPH': '5928 Kč', 'cena s DPH': '5928 Kč'}, {'název': 'Role se štítky 82x17 (červená)', 'množství': 50, 'cena bez DPH': '5928 Kč', 'cena s DPH': '5928 Kč'}, {'název': 'Práce technika', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'Jízdné technika', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",31150564,Apos Brno
32,Sociální služby Česká Třebová,29119152,70933341,22.11.2024,,"71 406,00 CZK",Prádlo - inko pomůcky,"[{'název': 'Podložka DERMA CARE 90x90 bez záhybů', 'množství': 80, 'cena bez DPH': None, 'cena s dph': 648.6}, {'název': 'Podložka DERMACARE 90x90 se záhyby', 'množství': 20, 'cena bez DPH': None, 'cena s dph': 701.8}, {'název': 'Ochranné polstrování postranic little', 'množství': 3, 'cena bez DPH': None, 'cena s dph': 1660.0}, {'název': 'Potahová látka', 'množství': 20, 'cena bez DPH': None, 'cena s dph': 314.6}]",31118584,Apos Brno
33,"Domov Buda, poskytovatel sociálních služeb",29106420,873501,04.11.2024,"45 955,37 CZK","55 606,00 CZK",Signalizační zařízení,"[{'název': 'náramkové tlačítko RD. PR200FW', 'množství': 22, 'cena bez DPH': 284.0, 'cena s DPH': 343.64}, {'název': 'pager SR RD. SIR SN', 'množství': 2, 'cena bez DPH': 11200.0, 'cena s DPH': 13552.0}, {'název': 'zásilkové výdaje POB', 'množství': 1, 'cena bez DPH': 127.27, 'cena s DPH': 154.0}, {'název': 'práce technika PTECH', 'množství': 2, 'cena bez DPH': 890.0, 'cena s DPH': 1076.9}, {'název': 'Repeater (opakovač) Kód RD FF200F', 'množství': 2, 'cena bez DPH': 5320.0, 'cena s DPH': 6437.2}]",31105260,Apos Brno
34,"Sociální služby Vsetín, příspěvková organizace",29090732,49562827,21.11.2024,"139 856,00 CZK",,"nákup - elastický potah na ochranu matrace, evakuační podložka","[{'název': 'podložka EMERIS 75x85', 'množství': 40, 'cena bez DPH': 205, 'cena s DPH': None}]",31088724,Apos Brno
35,"Odborný léčebný ústav Paseka, příspěvková organizace",29063328,849081,18.11.2024,"143 270,00 CZK","143 270,00 CZK",Objednávka - Elastické prostěradlo obálkového typu (bílé),"[{'název': 'Elastické prostěradlo obálkového střihu (bílé)', 'množství': 1, 'cena bez DPH': None, 'cena s dph': 755.0}, {'název': 'Přepravné', 'množství': 100, 'cena bez DPH': 1535.0, 'cena s dph': 1535.0}]",31060028,Apos Brno
36,"Dům seniorů Kdyně, příspěvková organizace",29070544,75007746,18.11.2024,,"110 723,50 CZK","Peřiny, polštáře, prostěradla","[{'název': 'Prošívaná přikrývka', 'množství': 20, 'cena bez DPH': None, 'cena s DPH': 1014.95}, {'název': 'Polštář', 'množství': 50, 'cena bez DPH': None, 'cena s DPH': 760.97}, {'název': 'prostěradlo', 'množství': 100, 'cena bez DPH': None, 'cena s DPH': 497.31}, {'název': 'balné + poštovné', 'množství': None, 'cena bez DPH': None, 'cena s DPH': None}]",31067552,Apos Brno
37,Domov pro seniory Chodov,29049488,70876606,15.11.2024,,"80 791,00 CZK",zdravotnický materiál,"[{'název': 'podložka na křesla', 'množství': 10, 'cena bez DPH': 371.5, 'cena s DPH': None}, {'název': 'ochranné rukavice síťované', 'množství': 3, 'cena bez DPH': 1408.4, 'cena s DPH': None}, {'název': 'ochranné rukavice', 'množství': 3, 'cena bez DPH': 832.5, 'cena s DPH': None}, {'název': 'podložka SONOMA', 'množství': 90, 'cena bez DPH': 628, 'cena s DPH': None}, {'název': 'polohovací podložka DUO', 'množství': 15, 'cena bez DPH': 598, 'cena s DPH': None}, {'název': 'samozavíratelný prací pytel', 'množství': 6, 'cena bez DPH': 695.8, 'cena s DPH': None}]",31045660,Apos Brno
38,"Domov pro seniory Červenka, příspěvková organizace",29047172,75004402,19.11.2024,"174 621,00 CZK","211 291,00 CZK",Objednávka - Lůžkoviny pro klienty.,"[{'název': 'Lůžkoviny pro klienty - dle cenové nabídky', 'množství': 1, 'cena bez DPH': 174621.0, 'cena s DPH': 211291.41}]",31043252,Apos Brno
39,"Domov Duha, příspěvková organizace",29050604,48804886,11.11.2024,"487 400,00 CZK","589 754,00 CZK",Dodávka provozního prádla,"[{'název': 'žínky', 'množství': 2000, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'ručníky', 'množství': 1000, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'prostěradla s gumou', 'množství': 600, 'cena bez DPH': None, 'cena s DPH': None}, {'název': 'klasická prostěradla', 'množství': 600, 'cena bez DPH': None, 'cena s DPH': None}]",31046828,Apos Brno
40,"Sagapo, příspěvková organizace",28928944,846350,07.11.2024,,"134 950,00 CZK","Prádlo- žínky, ručníky, osušky, prostěradla, povlečení","[{'název': 'ručník', 'množství': 36, 'cena bez DPH': 150, 'cena s DPH': None}, {'název': 'osuška', 'množství': 18, 'cena bez DPH': 300, 'cena s DPH': None}, {'název': 'prostěradlo', 'množství': 28, 'cena bez DPH': 500, 'cena s DPH': None}, {'název': 'povlečení', 'množství': 6, 'cena bez DPH': 770, 'cena s DPH': None}, {'název': 'froté osuška 70x140 V500', 'množství': 6, 'cena bez DPH': 240, 'cena s DPH': 290.4}, {'název': 'Krepové povlečení - Evelína kiwi', 'množství': 20, 'cena bez DPH': 628.9, 'cena s DPH': 761.18}, {'název': 'Dopravné', 'množství': 1, 'cena bez DPH': 950.41, 'cena s DPH': 1150.0}]",30993436,Apos Brno
41,"Sagapo, příspěvková organizace",29000624,846350,18.10.2024,,"34 880,00 CZK","Prádlo - utěrky prostěradla, povlečení","[{'název': 'utěrka', 'množství': 10, 'cena bez DPH': 50, 'cena s DPH': None}, {'název': 'prostěradlo', 'množství': 8, 'cena bez DPH': 500, 'cena s DPH': None}, {'název': 'povlečení', 'množství': 8, 'cena bez DPH': 770, 'cena s DPH': None}, {'název': 'ručník', 'množství': 16, 'cena bez DPH': 150, 'cena s DPH': None}]",30993632,Apos Brno
